Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
79 1000.00 1178.20 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
111 1000.00 1059.06 30.500114 51.3798 2.59801 8.6744 2.6436 0 19.658 0.733273 1.83046 0 0 7.59415 3.3333 0.615088 0.614669 0.325222 0
80 1000.00 1178.30 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
81 1000.00 1178.40 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
82 1000.00 1178.50 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
83 1000.00 1178.60 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
112 1000.00 1054.08 28.987675 51.8162 2.46588 8.51427 2.72254 0 19.5983 0.726804 1.6207 0 0 7.51971 3.38669 0.640047 0.646739 0.34219 0
84 1000.00 1178.50 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
85 1000.00 1178.90 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
86 1000.00 1178.60 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
87 1000.00 1178.70 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
113 1000.00 1049.09 27.569944 52.2836 2.34056 8.35843 2.80291 0 19.4741 0.71638 1.4213 0 0 7.45485 3.44231 0.665762 0.679997 0.359787 0
88 1000.00 1173.72 100.000000 50.4118 2.03941 13.0935 1.46957 0 11.9082 0.247982 6.57649 0 0 11.2584 2.4699 0.238063 0.187475 0.0991929 0
89 1000.00 1168.73 96.328201 50.3869 2.10365 13.1676 1.48809 0 12.154 0.257435 6.36724 0 0 11.0054 2.52566 0.246357 0.194621 0.102974 0
90 1000.00 1163.75 91.118888 50.3455 2.20844 13.0033 1.532 0 12.5971 0.272153 6.20778 0 0 10.6857 2.57517 0.258269 0.205747 0.108861 0
114 1000.00 1044.11 26.258086 52.7691 2.22028 8.20794 2.88179 0 19.3057 0.703966 1.23636 0 0 7.39174 3.49947 0.691896 0.713969 0.377762 0
91 1000.00 1158.76 86.309634 50.2935 2.31657 12.8342 1.57887 0 13.0376 0.287317 6.04408 0 0 10.3841 2.62127 0.270337 0.217212 0.114927 0
92 1000.00 1153.78 81.811887 50.2294 2.42973 12.6574 1.62948 0 13.4768 0.303113 5.87272 0 0 10.104 2.66424 0.282682 0.229153 0.121245 0
115 1000.00 1039.12 25.043432 53.2705 2.10484 8.06234 2.95851 0 19.0971 0.689973 1.06612 0 0 7.32962 3.55795 0.718413 0.748598 0.396084 0
93 1000.00 1148.79 77.498123 50.149 2.55208 12.4636 1.68612 0 13.916 0.319985 5.68498 0 0 9.85838 2.70433 0.295593 0.241909 0.127994 0
116 1000.00 1034.14 23.917856 53.7857 1.99405 7.92123 3.03243 0 18.852 0.674771 0.910541 0 0 7.26784 3.61756 0.745278 0.783827 0.414723 0
94 1000.00 1143.81 72.747645 50.0216 2.71016 12.1619 1.76581 0 14.3531 0.34088 5.41674 0 0 9.78526 2.7396 0.31091 0.257705 0.136352 0
95 1000.00 1138.82 68.832288 49.9058 2.85345 11.9068 1.83625 0 14.7815 0.36027 5.19508 0 0 9.64833 2.77106 0.324954 0.272364 0.144108 0
117 1000.00 1029.15 22.873738 54.3132 1.88774 7.78436 3.10289 0 18.5741 0.658682 0.769412 0 0 7.20576 3.67813 0.772461 0.819607 0.433654 0
96 1000.00 1133.84 65.287763 49.7834 2.99752 11.6518 1.9074 0 15.2039 0.37983 4.98214 0 0 9.51789 2.79829 0.338821 0.287151 0.151932 0
97 1000.00 1128.85 62.061581 49.6543 3.14251 11.3967 1.97933 0 15.6208 0.399575 4.77732 0 0 9.39368 2.82145 0.352515 0.302078 0.15983 0
118 1000.00 1024.17 21.903974 54.8515 1.78574 7.6515 3.16926 0 18.2666 0.641981 0.642361 0 0 7.14287 3.7395 0.799935 0.855893 0.452854 0
98 1000.00 1123.87 59.110671 49.5185 3.28857 11.1414 2.0521 0 16.0327 0.419522 4.58008 0 0 9.27547 2.8407 0.36604 0.317159 0.167809 0
99 1000.00 1118.88 56.399362 49.3759 3.43583 10.8858 2.12579 0 16.4402 0.43969 4.38993 0 0 9.16305 2.85616 0.379399 0.332406 0.175876 0
119 1000.00 1019.18 21.001988 55.3995 1.6879 7.52246 3.23093 0 17.9324 0.624899 0.528918 0 0 7.07874 3.80157 0.827681 0.892652 0.472303 0
100 1000.00 1113.90 53.897858 49.2265 3.58445 10.6298 2.20046 0 16.8436 0.460097 4.2064 0 0 9.05624 2.86794 0.392595 0.347833 0.184039 0
101 1000.00 1108.91 51.581075 49.0703 3.73458 10.3733 2.27619 0 17.2433 0.480762 4.02908 0 0 8.95488 2.87615 0.405628 0.363456 0.192305 0
102 1000.00 1103.93 49.427750 48.9071 3.88637 10.1162 2.35306 0 17.6398 0.501707 3.85758 0 0 8.85884 2.88088 0.418498 0.37929 0.200683 0
120 1000.00 1014.20 20.161755 55.9562 1.59409 7.39709 3.28732 0 17.5744 0.607625 0.428546 0 0 7.01306 3.8642 0.85568 0.929853 0.491986 0
103 1000.00 1098.94 47.419735 48.7368 4.04 9.85851 2.43115 0 18.0331 0.522952 3.69154 0 0 8.76799 2.88221 0.431204 0.395352 0.209181 0
104 1000.00 1093.96 45.002293 48.7642 4.01537 9.63101 2.50839 0 18.4322 0.544605 3.47753 0 0 8.6347 2.9063 0.448721 0.416589 0.220418 0
121 1000.00 1009.21 19.358448 56.5562 1.50217 7.27922 3.33894 0 17.1992 0.590607 0.339445 0 0 6.9197 3.93065 0.884764 0.946717 0.512401 0
122 1000.00 1004.23 16.423368 62.0069 0.656514 7.46951 1.55198 0 13.5747 0.541592 0.142537 0 0 7.07333 4.41387 1.02949 0.935682 0.603974 0
105 1000.00 1088.97 41.105354 49.9764 3.54653 9.7202 2.30619 0 18.0851 0.596235 3.08733 0 0 8.43935 3.0591 0.486175 0.456083 0.241314 0
123 1000.00 999.24 15.842942 62.7777 0.616006 7.32897 1.44722 0 13.0639 0.528114 0.101541 0 0 7.02455 4.47933 1.0612 0.945434 0.626102 0
124 1000.00 994.26 15.315336 63.5102 0.581291 7.1874 1.35104 0 12.5743 0.515384 0.0693757 0 0 6.97532 4.54013 1.09189 0.956016 0.647671 0
106 1000.00 1083.99 39.043708 50.1422 3.43806 9.52815 2.36555 0 18.4024 0.618796 2.86861 0 0 8.29774 3.09802 0.506225 0.480166 0.254056 0
107 1000.00 1079.00 36.963077 50.4125 3.24414 9.35293 2.42199 0 18.6974 0.641512 2.63557 0 0 8.14078 3.14886 0.528803 0.507194 0.268357 0
108 1000.00 1074.02 35.101051 50.6695 3.06466 9.17981 2.47799 0 18.9697 0.664269 2.4162 0 0 7.9927 3.19748 0.550911 0.5341 0.282593 0
109 1000.00 1069.03 33.421443 50.9153 2.89802 9.00893 2.53358 0 19.2203 0.687114 2.20945 0 0 7.85271 3.24423 0.572616 0.560941 0.296794 0
110 1000.00 1064.05 31.895503 51.1515 2.74286 8.84042 2.58877 0 19.4496 0.710099 2.01446 0 0 7.72008 3.2894 0.593987 0.587778 0.310994 0
125 1000.00 989.27 14.832750 64.209 0.55134 7.04581 1.26246 0 12.1032 0.503368 0.0447328 0 0 6.92543 4.5969 1.12168 0.967353 0.668743 0
