Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
107 1000.00 1089.84 39.611487 49.9837 3.48465 9.77689 2.37128 0 18.3523 0.61557 2.83467 0 0 8.22712 3.11552 0.514967 0.473044 0.250288
108 1000.00 1084.84 37.488758 50.2483 3.28954 9.6054 2.42949 0 18.6542 0.638208 2.60064 0 0 8.06509 3.16691 0.537941 0.499829 0.26446
109 1000.00 1079.85 35.592749 50.4989 3.10917 9.43551 2.4873 0 18.9338 0.66085 2.38092 0 0 7.91237 3.2158 0.560371 0.526455 0.278548
110 1000.00 1074.85 33.885502 50.7374 2.94191 9.2674 2.54475 0 19.192 0.683547 2.1744 0 0 7.76813 3.26252 0.582329 0.552979 0.292582
111 1000.00 1069.85 32.336956 50.9656 2.78635 9.10123 2.60188 0 19.4295 0.706346 1.9801 0 0 7.63161 3.30741 0.603883 0.57946 0.306593
112 1000.00 1064.85 30.923005 51.1852 2.64126 8.93718 2.6587 0 19.6467 0.729298 1.7972 0 0 7.50212 3.35075 0.625097 0.605956 0.320612
113 1000.00 1059.86 29.471830 51.5644 2.50523 8.78352 2.73183 0 19.6602 0.728582 1.60298 0 0 7.40199 3.40027 0.648768 0.635793 0.336398
114 1000.00 1054.86 28.044185 52.0071 2.3818 8.62851 2.81442 0 19.5591 0.719081 1.40627 0 0 7.33438 3.45349 0.674172 0.668159 0.353524
115 1000.00 1049.86 26.723777 52.4665 2.26342 8.47894 2.89591 0 19.4146 0.707532 1.22392 0 0 7.26903 3.50803 0.699918 0.701173 0.370991
116 1000.00 1044.86 25.501660 52.9407 2.14988 8.33435 2.97569 0 19.2305 0.694346 1.05611 0 0 7.20522 3.56368 0.72597 0.734775 0.38877
117 1000.00 1039.87 24.369488 53.4276 2.04095 8.19437 3.05318 0 19.0106 0.679889 0.902781 0 0 7.1423 3.62027 0.752296 0.768912 0.406832
118 1000.00 1034.87 23.319467 53.9256 1.93643 8.05873 3.12779 0 18.7584 0.664479 0.763685 0 0 7.07964 3.67766 0.778868 0.803534 0.42515
119 1000.00 1029.87 22.344345 54.4334 1.83611 7.92724 3.19897 0 18.477 0.648394 0.638427 0 0 7.01671 3.73571 0.805662 0.838601 0.443704
120 1000.00 1024.87 21.437422 54.9499 1.73983 7.79972 3.26617 0 18.1694 0.631865 0.526518 0 0 6.95304 3.79433 0.832662 0.874078 0.462475
121 1000.00 1019.87 20.592554 55.4741 1.64743 7.67603 3.32888 0 17.8382 0.615083 0.427412 0 0 6.88828 3.85343 0.859853 0.90994 0.48145
122 1000.00 1014.88 19.788828 56.0346 1.55757 7.55967 3.3878 0 17.4908 0.598478 0.339737 0 0 6.79953 3.91557 0.887886 0.927336 0.501004
123 1000.00 1009.88 19.028664 56.6223 1.4707 7.44916 3.44196 0 17.1277 0.58204 0.263468 0 0 6.69347 3.97981 0.916551 0.931846 0.521018
124 1000.00 1004.88 18.319225 57.2144 1.38763 7.34158 3.49005 0 16.7469 0.565628 0.198579 0 0 6.587 4.04409 0.945342 0.93761 0.541195
125 1000.00 999.88 15.658412 62.7128 0.576999 7.56576 1.55768 0 13.056 0.513149 0.0678948 0 0 6.76933 4.52538 1.0923 0.929523 0.63316
126 1000.00 994.89 15.148032 63.4322 0.543171 7.43402 1.45853 0 12.5662 0.500391 0.0428069 0 0 6.71909 4.5858 1.12287 0.940467 0.654493
127 1000.00 989.89 14.553596 64.3358 0.511081 7.32254 1.34643 0 11.8816 0.482363 0.0287672 0 0 6.62124 4.67305 1.16203 0.953848 0.681225
